	Date	Day	IMDB	Place	Rating	Time	Title
2729	2007/04/13	Fri		C2GA Cinema 2 General Admit	G	11:00	Free Animated Kids' Classics
2730	2007/04/13	Fri		C2GA Cinema 2 General Admit	G	13:30	The Last Trapper
2731	2007/04/13	Fri		C2GA Cinema 2 General Admit	M	19:00	Cronos
2732	2007/04/13	Fri		C2GA Cinema 2 General Admit	MA15+	21:00	Blade II
2733	2007/04/13	Fri		C1GA Cinema 1 General Admit	R18+	22:00	Friday the 13th + Teenagers on Trial
2734	2007/04/14	Sat		C2GA Cinema 2 General Admit	M	11:00	Volver
2735	2007/04/14	Sat		C1GA Cinema 1 General Admit	PG	16:00	Annie's Coming Out
2736	2007/04/14	Sat		C2GA Cinema 2 General Admit	M	16:00	Mimic
2737	2007/04/14	Sat		C2GA Cinema 2 General Admit	R18+	18:30	George A. Romero's Martin
2738	2007/04/14	Sat		C2GA Cinema 2 General Admit	M	20:30	Hellboy
2739	2007/04/15	Sun		C2GA Cinema 2 General Admit	G	10:30	Princes and Princesses
2740	2007/04/15	Sun		C2GA Cinema 2 General Admit	G	13:00	Princes and Princesses
2741	2007/04/15	Sun		C2GA Cinema 2 General Admit	MA15+	15:00	The Devil's Backbone
2742	2007/04/15	Sun		C1GA Cinema 1 General Admit	MA15+	17:30	Black Sunday
2743	2007/04/16	Mon		C2GA Cinema 2 General Admit	M	13:30	Volver
2744	2007/04/19	Thu		C2GA Cinema 2 General Admit	MA15+	18:30	The Devil's Backbone
2745	2007/04/19	Thu		C2GA Cinema 2 General Admit	M	20:30	Cronos
2746	2007/04/20	Fri		C2GA Cinema 2 General Admit	M	19:00	Mimic
2747	2007/04/20	Fri		C2GA Cinema 2 General Admit	M	21:15	Hellboy
2748	2007/04/20	Fri		C1GA Cinema 1 General Admit	PG	22:00	The Loved One
2749	2007/04/21	Sat		C2GA Cinema 2 General Admit	M	11:00	Heading South
2750	2007/04/21	Sat		C1GA Cinema 1 General Admit	M	11:00	Heading South
2751	2007/04/21	Sat		C1GA Cinema 1 General Admit	MA	16:00	Two Hands
2752	2007/04/21	Sat		C2GA Cinema 2 General Admit	MA15+	19:00	Blade II
2753	2007/04/21	Sat		C2GA Cinema 2 General Admit	R18+	21:15	George A. Romero's Martin
2754	2007/04/22	Sun		C2GA Cinema 2 General Admit	G	10:30	Princes and Princesses
2755	2007/04/22	Sun		C2GA Cinema 2 General Admit	G	13:00	Princes and Princesses
2756	2007/04/22	Sun		C2GA Cinema 2 General Admit	M	15:00	The Night of the Hunter
2757	2007/04/22	Sun		C2GA Cinema 2 General Admit	MA15+	17:00	Pan's Labyrinth
2758	2007/04/23	Mon		C2GA Cinema 2 General Admit	M	13:30	Heading South
2759	2007/04/26	Thu		C2GA Cinema 2 General Admit	Unclassified 18+	19:00	Klimt
2760	2007/04/27	Fri		C1GA Cinema 1 General Admit	R18+	22:00	Motel Hell + The Dangerous Stranger
2761	2007/04/28	Sat		C2GA Cinema 2 General Admit	M	11:00	Heading South
2762	2007/04/28	Sat		C1GA Cinema 1 General Admit	G	16:00	Eureka Stockade
2763	2007/04/28	Sat		C1GA Cinema 1 General Admit	Unclassified 18+	19:00	Klimt
2764	2007/04/29	Sun		C2GA Cinema 2 General Admit		10:30	Wallace & Gromit in the Curse of the Were-Rabbit
2765	2007/04/29	Sun		C2GA Cinema 2 General Admit		13:00	Wallace & Gromit in the Curse of the Were-Rabbit
2766	2007/04/29	Sun		C2GA Cinema 2 General Admit	Unclassified 18+	17:30	Klimt
2767	2007/04/30	Mon		C2GA Cinema 2 General Admit	M	13:30	Heading South
2768	2007/05/04	Fri		C1GA Cinema 1 General Admit	M15+	22:00	Shock Corridor
2769	2007/05/05	Sat		C2GA Cinema 2 General Admit	M	11:00	The White Countess
2770	2007/05/05	Sat		C1GA Cinema 1 General Admit	PG	16:00	Strictly Ballroom
2771	2007/05/05	Sat		C1GA Cinema 1 General Admit	18+	18:30	Metaphysical TV: The 1980s
2772	2007/05/06	Sun		C2GA Cinema 2 General Admit		10:30	Wallace & Gromit in the Curse of the Were-Rabbit
