	index	Date	Day	IMDB	Place	Rating_x	Time	Title	Rating_y	tmdb_id	original_language	release_date	budget	revenue	runtime	genre	director	cast
115	81	2002-12-13	Fri			Unclassified 18+	19:00	Rippin Kittin: Golden Boy w/Miss Kittin										
117	82	2002-12-13	Fri			Unclassified 18+	19:00	Tempovision: Etienne de Crecy										
119	83	2002-12-13	Fri			Unclassified 18+	19:00	The Test: Chemical Brothers										
121	84	2002-12-13	Fri			Unclassified 18+	19:00	Where's Your Head At: Basement Jaxx										
123	85	2002-12-13	Fri			Unclassified 18+	19:00	Clubbed to Death: Rob Dougan										
125	86	2002-12-13	Fri			Unclassified 18+	19:00	My Culture: 1 Giant Leap										
127	87	2002-12-13	Fri			Unclassified 18+	19:00	Poor Leno: Royksopp										
129	88	2002-12-13	Fri			Unclassified 18+	19:00	Eple: Royksopp										
131	89	2002-12-13	Fri			Unclassified 18+	19:00	Six Days: DJ Shadow										
133	90	2002-12-13	Fri			Unclassified 18+	19:00	Eye For An Eye: UNKLE										
135	91	2002-12-13	Fri			Unclassified 18+	19:00	Extra Track II: Bullfrog										
137	92	2002-12-13	Fri			Unclassified 18+	19:00	Infromation Contraband: Money Mark										
139	93	2002-12-13	Fri			Unclassified 18+	19:00	Destiny: Zero 7										
141	94	2002-12-13	Fri			Unclassified 18+	19:00	Star Guitar: Chemical Brothers										
143	95	2002-12-13	Fri			Unclassified 18+	19:00	Hayling: FC Kahuna										
145	96	2002-12-13	Fri			Unclassified 18+	19:00	Pagan poetry: Biork										
147	97	2002-12-13	Fri			Unclassified 18+	19:00	How does it makes your feel: Air										
61	98	2002-12-14	Tue			M	18:30	Dark City		2666.0	en	1998-02-27	27000000.0	27200316.0	100.0	['Mystery', 'Science Fiction']	Alex Proyas	
149	99	2002-12-14	Sat			Unclassified 18+	19:00	Hurt		26293.0	en	2009-11-10	0.0	0.0	96.0	['Drama', 'Mystery', 'Thriller']	Barbara Stepansky	
150	100	2002-12-14	Sat			Unclassified 18+	17:00	So Many Women, So little Hair										
152	101	2002-12-14	Sat			Unclassified 18+	17:00	Black Ice		353530.0	ru		0.0	0.0	69.0	[]	Mikhail Brashinsky	
154	102	2002-12-14	Sat			Unclassified 18+	17:00	Perception		170085.0	en	2005-01-01	0.0	0.0	101.0	['Drama']	Irving Schwartz	
156	103	2002-12-14	Sat			Unclassified 18+	17:00	Tsak Tsak		122872.0	en	2001-10-24	0.0	0.0	2.0	[]	Andrey Paounov	
158	104	2002-12-14	Sat			Unclassified 18+	17:00	The Subconscious Art of Graffiti Removal		67366.0	en	2002-01-01	0.0		17.0	[]	Matt McCormick	
160	105	2002-12-14	Sat			Unclassified 18+	17:00	Terminal Bar		112274.0	es	2003-01-01	0.0	0.0	23.0	[]	Stefan Nadelman	
96	106	2002-12-14	Sat			Unclassified 18+	21:00	Windows		83857.0	en	1980-01-18	0.0	0.0	96.0	['Horror', 'Drama', 'Thriller']	Gordon Willis	
98	107	2002-12-14	Sat			Unclassified 18+	21:00	Remind Me		158144.0	de	2002-05-31	0.0	0.0	90.0	['Thriller', 'Drama']	Christian Petzold	
100	108	2002-12-14	Sat			Unclassified 18+	21:00	Prelude		215067.0	es	2013-05-24	0.0	0.0	71.0	['Drama']	Eduardo Lucatero	
102	109	2002-12-14	Sat			Unclassified 18+	21:00	Untitled		364163.0	en	1975-01-01	0.0	0.0	6.0	[]	Juan José Mugni	
104	110	2002-12-14	Sat			Unclassified 18+	21:00	Spot		278446.0	es		0.0	0.0		[]	Cesar Espada	
106	111	2002-12-14	Sat			Unclassified 18+	21:00	Freestyle Disco										
108	112	2002-12-14	Sat			Unclassified 18+	21:00	North Star		200383.0	en	1996-01-03	0.0	0.0	90.0	['Action', 'Adventure', 'Drama', 'Western']	Nils Gaup	
110	113	2002-12-14	Sat			Unclassified 18+	21:00	Pulk/Pull Revolving Doors and like Spinning Plates										
112	114	2002-12-14	Sat			Unclassified 18+	21:00	Brazil Inspired										
114	115	2002-12-14	Sat			Unclassified 18+	21:00	Anamorph		14000.0	en	2007-09-21	0.0	0.0	107.0	['Crime', 'Thriller']	Henry Miller	
116	116	2002-12-15	Sun			Unclassified 18+	20:00	Rippin Kittin: Golden Boy w/Miss Kittin										
118	117	2002-12-15	Sun			Unclassified 18+	20:00	Tempovision: Etienne de Crecy										
120	118	2002-12-15	Sun			Unclassified 18+	20:00	The Test: Chemical Brothers										
122	119	2002-12-15	Sun			Unclassified 18+	20:00	Where's Your Head At: Basement Jaxx										
124	120	2002-12-15	Sun			Unclassified 18+	20:00	Clubbed to Death: Rob Dougan										
126	121	2002-12-15	Sun			Unclassified 18+	20:00	My Culture: 1 Giant Leap										
128	122	2002-12-15	Sun			Unclassified 18+	20:00	Poor Leno: Royksopp										
130	123	2002-12-15	Sun			Unclassified 18+	20:00	Eple: Royksopp										
132	124	2002-12-15	Sun			Unclassified 18+	20:00	Six Days: DJ Shadow										
134	125	2002-12-15	Sun			Unclassified 18+	20:00	Eye For An Eye: UNKLE										
136	126	2002-12-15	Sun			Unclassified 18+	20:00	Extra Track II: Bullfrog										
138	127	2002-12-15	Sun			Unclassified 18+	20:00	Infromation Contraband: Money Mark										
140	128	2002-12-15	Sun			Unclassified 18+	20:00	Destiny: Zero 7										
142	129	2002-12-15	Sun			Unclassified 18+	20:00	Star Guitar: Chemical Brothers										
144	130	2002-12-15	Sun			Unclassified 18+	20:00	Hayling: FC Kahuna										
146	131	2002-12-15	Sun			Unclassified 18+	20:00	Pagan poetry: Biork										
148	132	2002-12-15	Sun			Unclassified 18+	20:00	How does it makes your feel: Air										
151	133	2002-12-15	Sun			Unclassified 18+	18:30	So Many Women, So little Hair										
153	134	2002-12-15	Sun			Unclassified 18+	18:30	Black Ice		353530.0	ru		0.0	0.0	69.0	[]	Mikhail Brashinsky	
155	135	2002-12-15	Sun			Unclassified 18+	18:30	Perception		170085.0	en	2005-01-01	0.0	0.0	101.0	['Drama']	Irving Schwartz	
157	136	2002-12-15	Sun			Unclassified 18+	18:30	Tsak Tsak		122872.0	en	2001-10-24	0.0	0.0	2.0	[]	Andrey Paounov	
159	137	2002-12-15	Sun			Unclassified 18+	18:30	The Subconscious Art of Graffiti Removal		67366.0	en	2002-01-01	0.0		17.0	[]	Matt McCormick	
161	138	2002-12-15	Sun			Unclassified 18+	18:30	Terminal Bar		112274.0	es	2003-01-01	0.0	0.0	23.0	[]	Stefan Nadelman	
162	139	2002-12-15	Sun			G	16:30	In The Mood for Love		843.0	cn	2000-05-22	0.0	12854953.0	98.0	['Drama', 'Romance']	Wong Kar-wai	
164	140	2002-12-15	Sun			Unclassified 18+	14:00	Necrology		111161.0	es	1971-01-01	0.0	0.0	12.0	[]	Standish Lawder	
165	141	2002-12-15	Sun			Unclassified 18+	14:00	Reverse Angle (Ein Brief Aus New York)		345186.0	en	1982-09-15	0.0	0.0	17.0	[]	Wim Wenders	
166	142	2002-12-15	Sun			Unclassified 18+	14:00	NY, NY, A Day in New York										
167	143	2002-12-15	Sun			Unclassified 18+	14:00	Rain (Regen)		15436.0	fr	2008-09-17	0.0	0.0	98.0	['Comedy']	Agnès Jaoui	
168	144	2002-12-15	Sun			Unclassified 18+	14:00	All My Life		173539.0	en	2008-06-21	10000.0	0.0	120.0	[]	Maher Sabry	
169	145	2002-12-15	Sun			Unclassified 18+	14:00	London to Brighton in Four Minutes		147601.0	en	1952-12-31	0.0	0.0	4.0	['Documentary']	British Broadcasting Corporation (BBC)	
163	146	2002-12-17	Tue			G	18:30	In The Mood for Love		843.0	cn	2000-05-22	0.0	12854953.0	98.0	['Drama', 'Romance']	Wong Kar-wai	
170	147	2002-12-19	Thu			Unclassified 18+	21:00	Ten Tiny Love Stories		80199.0	en	2002-01-01	0.0	0.0	96.0	['Drama', 'Romance']	Rodrigo García	
172	148	2002-12-19	Thu			Unclassified 18+	19:00	Tape		23949.0	en	2001-01-26	100000.0		86.0	['Drama']	Richard Linklater	
174	149	2002-12-20	Fri			Unclassified 18+	19:00	Women in Film		132084.0	en	2001-01-24	0.0	0.0	89.0	['Drama']		
173	150	2002-12-20	Fri			Unclassified 18+	21:00	Tape		23949.0	en	2001-01-26	100000.0		86.0	['Drama']	Richard Linklater	
176	151	2002-12-21	Sat			Unclassified 18+	16:45	Final		21176.0	en	2001-06-08	0.0	0.0	111.0	['Drama', 'Science Fiction', 'Thriller']	Campbell Scott	
178	152	2002-12-21	Sat			Unclassified 18+	19:00	Chelsea Walls		35694.0	en	2002-04-19	0.0	0.0	109.0	['Drama']	Ethan Hawke	
175	153	2002-12-21	Sat			Unclassified 18+	21:10	Women in Film		132084.0	en	2001-01-24	0.0	0.0	89.0	['Drama']		
177	154	2002-12-22	Sun			Unclassified 18+	21:00	Final		21176.0	en	2001-06-08	0.0	0.0	111.0	['Drama', 'Science Fiction', 'Thriller']	Campbell Scott	
179	155	2002-12-22	Sun			Unclassified 18+	16:45	Chelsea Walls		35694.0	en	2002-04-19	0.0	0.0	109.0	['Drama']	Ethan Hawke	
171	156	2002-12-22	Sun			Unclassified 18+	19:00	Ten Tiny Love Stories		80199.0	en	2002-01-01	0.0	0.0	96.0	['Drama', 'Romance']	Rodrigo García	
180	157	2002-12-22	Sun				16:30	The Double Life of Veronique		1600.0	fr	1991-05-15	0.0	1999955.0	97.0	['Drama', 'Thriller']	Krzysztof Kieślowski	
182	158	2002-12-22	Sun				14:30	Buried in Light		260397.0	en		0.0	0.0	61.0	[]	Jem Cohen	
183	159	2002-12-22	Sun			Unclassified 18+	14:30	This is a story of New York										
181	160	2002-12-24	Tue				18:30	The Double Life of Veronique		1600.0	fr	1991-05-15	0.0	1999955.0	97.0	['Drama', 'Thriller']	Krzysztof Kieślowski	
184	161	2002-12-26	Thu			G		The Lion King		8587.0	en	1994-06-23	45000000.0	788241776.0	89.0	['Family', 'Animation', 'Drama']	Rob Minkoff	
185	162	2002-12-29	Sun				16:30	The Conformist		475144.0	en	2017-09-11	0.0	0.0	0.0	[]	Shangjun Cai	
7	163	2002-12-29	Sun			Unclassified 18+	14:00	Spacy, 1980-81										
9	164	2002-12-29	Sun			Unclassified 18+	14:00	The man who could not see far enough		328727.0	en		0.0	0.0	32.0	['Documentary']	Peter Rose	
11	165	2002-12-29	Sun			Unclassified 18+	14:00	Wormholes										
13	166	2002-12-29	Sun			Unclassified 18+	14:00	A Sprint Down Fifty Flights										
186	167	2002-12-31	Tue				18:30	The Conformist		475144.0	en	2017-09-11	0.0	0.0	0.0	[]	Shangjun Cai	
189	168	2003-01-02	Thu			M15+	21:00	The Blair Witch Project		2667.0	en	1999-07-14	60000.0	248000000.0	81.0	['Horror', 'Mystery']	Eduardo Sánchez	
192	169	2003-01-02	Thu			Unclassified 18+	19:00	The Last Broadcast		34288.0	en	1998-10-23	0.0	0.0	86.0	['Horror', 'Mystery']	Lance Weiler	
194	170	2003-01-03	Fri			M15+	21:00	American Movie: The Making of Northwestern		14242.0	en	1999-11-05	0.0	0.0	107.0	['Documentary']	Chris Smith	
193	171	2003-01-03	Fri			Unclassified 18+	19:00	The Last Broadcast		34288.0	en	1998-10-23	0.0	0.0	86.0	['Horror', 'Mystery']	Lance Weiler	
195	172	2003-01-04	Sat			M15+	21:00	American Movie: The Making of Northwestern		14242.0	en	1999-11-05	0.0	0.0	107.0	['Documentary']	Chris Smith	
190	173	2003-01-04	Sat			M15+	19:00	The Blair Witch Project		2667.0	en	1999-07-14	60000.0	248000000.0	81.0	['Horror', 'Mystery']	Eduardo Sánchez	
196	174	2003-01-05	Sun			MA	16:30	The Goddess of 1967		46226.0	en	2000-09-08	0.0	0.0	119.0	['Romance', 'Drama', 'Comedy']		
20	175	2003-01-05	Sun			Unclassified 18+	14:00	The Pier (La Jetee)										
22	176	2003-01-05	Sun			Unclassified 18+	14:00	Lovely		122783.0	en	2012-03-30	0.0	0.0	148.0	[]	Jaya B	
24	177	2003-01-05	Sun			Unclassified 18+	14:00	Alone: Life Wastes Andy Hardy		93468.0	en	1998-01-01	0.0	0.0	15.0	['Drama', 'Music']	Martin Arnold	
26	178	2003-01-05	Sun			Unclassified 18+	14:00	The journey		76714.0	en	1959-02-19	0.0	0.0	126.0	['Drama', 'Romance']		
28	179	2003-01-05	Sun			Unclassified 18+	14:00	WWMC										
30	180	2003-01-05	Sun			Unclassified 18+	14:00	A Trip to the Moon (le voyage dans la lune)										
197	181	2003-01-07	Tue			MA	18:30	The Goddess of 1967		46226.0	en	2000-09-08	0.0	0.0	119.0	['Romance', 'Drama', 'Comedy']		
198	182	2003-01-09	Sun			M15+	13:00	Farawell My Concubine										
